"player","team"
"Smith, Ish",PHX
"Tucker, PJ",PHX
"Burks, Alec",UTA
"Clark, Ian",UTA
"Favors, Derrick",UTA
"Harris, Michael",UTA
"Hayward, Gordon",UTA
"Jefferson, Richard",UTA
"Kanter, Enes",UTA
"Lucas III, John",UTA
"Tinsley, Jamaal",UTA
"Cousins, DeMarcus",SAC
"McLemore, Ben",SAC
"Outlaw, Travis",SAC
"Thomas, Isaiah",SAC
"Thompson, Jason",SAC
"Barnes, Matt",LAC
"Collison, Darren",LAC
"Crawford, Jamal",LAC
"Dudley, Jared",LAC
"Griffin, Blake",LAC
"Hollins, Ryan",LAC
"Jordan, DeAndre",LAC
"Paul, Chris",LAC
"Redick, JJ",LAC
"Ayres, Jeff",SAS
"Baynes, Aron",SAS
"Belinelli, Marco",SAS
"Bonner, Matt",SAS
"Diaw, Boris",SAS
"Ginobili, Manu",SAS
"Green, Danny",SAS
"Leonard, Kawhi",SAS
"Mills, Patty",SAS
"Parker, Tony",SAS
"Splitter, Tiago",SAS
"Farmar, Jordan",LAL
"Gasol, Pau",LAL
"Henry, Xavier",LAL
"Hill, Jordan",LAL
"Johnson, Wesley",LAL
"Kaman, Chris",LAL
"Meeks, Jodie",LAL
"Nash, Steve",LAL
"Williams, Shawne",LAL
"Young, Nick",LAL
"Bennett, Anthony",CLE
"Gee, Alonzo",CLE
"Irving, Kyrie",CLE
"Jack, Jarrett",CLE
"Miles, CJ",CLE
"Thompson, Tristan",CLE
"Varejao, Anderson",CLE
"Waiters, Dion",CLE
"Zeller, Tyler",CLE
"Butler, Rasual",IND
"Copeland, Chris",IND
"George, Paul",IND
"Hibbert, Roy",IND
"Hill, Solomon",IND
"Mahinmi, Ian",IND
"Scola, Luis",IND
"Sloan, Donald",IND
"Stephenson, Lance",IND
"Watson, CJ",IND
"West, David",IND
"Boozer, Carlos",CHI
"Butler, Jimmy",CHI
"Dunleavy, Mike",CHI
"Gibson, Taj",CHI
"Hinrich, Kirk",CHI
"Mohammed, Nazr",CHI
"Noah, Joakim",CHI
"Rose, Derrick",CHI
"Anderson, James",PHI
"Carter-Williams, Michael",PHI
"Davies, Brandon",PHI
"Orton, Daniel",PHI
"Thompson, Hollis",PHI
"Wroten, Tony",PHI
"Young, Thaddeus",PHI
"Gordon, Ben",CHA
"Henderson, Gerald",CHA
"Kidd-Gilchrist, Michael",CHA
"McRoberts, Josh",CHA
"Pargo, Jannero",CHA
"Taylor, Jeff",CHA
"Tolliver, Anthony",CHA
"Walker, Kemba",CHA
"Zeller, Cody",CHA
"Aminu, Al-Farouq",NOP
"Davis, Anthony",NOP
"Evans, Tyreke",NOP
"Gordon, Eric",NOP
"Holiday, Jrue",NOP
"Morrow, Anthony",NOP
"Roberts, Brian",NOP
"Smith, Jason",NOP
"Stiemsma, Greg",NOP
"Thomas, Lance",NOP
"Blair, DeJuan",DAL
"Calderon, Jose",DAL
"Carter, Vince",DAL
"Crowder, Jae",DAL
"Dalembert, Samuel",DAL
"Ellis, Monta",DAL
"Marion, Shawn",DAL
"Mekel, Gal",DAL
"Nowitzki, Dirk",DAL
"Allen, Tony",MEM
"Calathes, Nick",MEM
"Conley, Mike",MEM
"Davis, Ed",MEM
"Gasol, Marc",MEM
"Koufos, Kosta",MEM
"Leuer, Jon",MEM
"Miller, Mike",MEM
"Pondexter, Quincy",MEM
"Prince, Tayshaun",MEM
"Randolph, Zach",MEM
"Parsons, Chandler",HOU
"Burks, Alec",UTA
"Favors, Derrick",UTA
"Harris, Michael",UTA
"Hayward, Gordon",UTA
"Jefferson, Richard",UTA
"Kanter, Enes",UTA
"Lucas III, John",UTA
"Tinsley, Jamaal",UTA
"Aldridge, LaMarcus",POR
"Batum, Nicolas",POR
"Freeland, Joel",POR
"Lillard, Damian",POR
"Lopez, Robin",POR
"Matthews, Wesley",POR
"Robinson, Thomas",POR
"Williams, Mo",POR
"Ayres, Jeff",SAS
"Baynes, Aron",SAS
"Belinelli, Marco",SAS
"Diaw, Boris",SAS
"Duncan, Tim",SAS
"Ginobili, Manu",SAS
"Green, Danny",SAS
"Leonard, Kawhi",SAS
"Mills, Patty",SAS
"Parker, Tony",SAS
"Splitter, Tiago",SAS
"Bogut, Andrew",GSW
"Curry, Stephen",GSW
"Green, Draymond",GSW
"Iguodala, Andre",GSW
"Lee, David",GSW
"Nedovic, Nemanja",GSW
"Speights, Marreese",GSW
"Thompson, Klay",GSW
"Cousins, DeMarcus",SAC
"McLemore, Ben",SAC
"Ndiaye, Hamady",SAC
"Outlaw, Travis",SAC
"Thomas, Isaiah",SAC
"Thompson, Jason",SAC
"Bass, Brandon",BOS
"Bogans, Keith",BOS
"Bradley, Avery",BOS
"Faverani, Vitor",BOS
"Green, Jeff",BOS
"Olynyk, Kelly",BOS
"Sullinger, Jared",BOS
"Wallace, Gerald",BOS
"Billups, Chauncey",DET
"Bynum, Will",DET
"Drummond, Andre",DET
"Jennings, Brandon",DET
"Jerebko, Jonas",DET
"Monroe, Greg",DET
"Singler, Kyle",DET
"Smith, Josh",DET
"Stuckey, Rodney",DET
"Ariza, Trevor",WAS
"Beal, Bradley",WAS
"Booker, Trevor",WAS
"Gortat, Marcin",WAS
"Harrington, Al",WAS
"Seraphin, Kevin",WAS
"Wall, John",WAS
"Webster, Martell",WAS
"Allen, Ray",MIA
"Andersen, Chris",MIA
"Battier, Shane",MIA
"Bosh, Chris",MIA
"Chalmers, Mario",MIA
"Cole, Norris",MIA
"Haslem, Udonis",MIA
"James, LeBron",MIA
"Lewis, Rashard",MIA
"Wade, Dwyane",MIA
"Anderson, Alan",BKN
"Blatche, Andray",BKN
"Garnett, Kevin",BKN
"Johnson, Joe",BKN
"Kirilenko, Andrei",BKN
"Livingston, Shaun",BKN
"Lopez, Brook",BKN
"Pierce, Paul",BKN
"Plumlee, Mason",BKN
"Teletovic, Mirza",BKN
"Terry, Jason",BKN
"Williams, Deron",BKN
"Afflalo, Arron",ORL
"Harkless, Maurice",ORL
"Maxiell, Jason",ORL
"Moore, E'Twaun",ORL
"Nelson, Jameer",ORL
"Nicholson, Andrew",ORL
"O'Quinn, Kyle",ORL
"Oladipo, Victor",ORL
"Price, Ronnie",ORL
"Vucevic, Nikola",ORL
"Adams, Steven",OKC
"Collison, Nick",OKC
"Durant, Kevin",OKC
"Fisher, Derek",OKC
"Ibaka, Serge",OKC
"Jackson, Reggie",OKC
"Jones, Perry",OKC
"Lamb, Jeremy",OKC
"Perkins, Kendrick",OKC
"Sefolosha, Thabo",OKC
"Westbrook, Russell",OKC
"Barbosa, Leandro",PHX
"Bledsoe, Eric",PHX
"Christmas, Dionte",PHX
"Dragic, Goran",PHX
"Green, Gerald",PHX
"Morris, Markieff",PHX
"Plumlee, Miles",PHX
"Randolph, Shavlik",PHX
"Smith, Ish",PHX
"Tucker, PJ",PHX
"Antic, Pero",ATL
"Carroll, DeMarre",ATL
"Horford, Al",ATL
"Jenkins, John",ATL
"Korver, Kyle",ATL
"Martin, Cartier",ATL
"Millsap, Paul",ATL
"Schroder, Dennis",ATL
"Scott, Mike",ATL
"Teague, Jeff",ATL
"Farmar, Jordan",LAL
"Gasol, Pau",LAL
"Henry, Xavier",LAL
"Hill, Jordan",LAL
"Johnson, Wesley",LAL
"Kaman, Chris",LAL
"Meeks, Jodie",LAL
"Nash, Steve",LAL
"Williams, Shawne",LAL
"Young, Nick",LAL
"Bennett, Anthony",CLE
"Gee, Alonzo",CLE
"Irving, Kyrie",CLE
"Jack, Jarrett",CLE
"Miles, CJ",CLE
"Thompson, Tristan",CLE
"Varejao, Anderson",CLE
"Waiters, Dion",CLE
"Barea, Jose Juan",MIN
"Brewer, Corey",MIN
"Cunningham, Dante",MIN
"Love, Kevin",MIN
"Martin, Kevin",MIN
"Pekovic, Nikola",MIN
"Rubio, Ricky",MIN
"Shved, Alexey",MIN
"Bogut, Andrew",GSW
"Curry, Stephen",GSW
"Green, Draymond",GSW
"Iguodala, Andre",GSW
"Kuzmic, Ognjen",GSW
"Lee, David",GSW
"Nedovic, Nemanja",GSW
"O'Neal, Jermaine",GSW
"Speights, Marreese",GSW
"Thompson, Klay",GSW
"Anderson, James",PHI
"Carter-Williams, Michael",PHI
"Davies, Brandon",PHI
"Orton, Daniel",PHI
"Thompson, Hollis",PHI
"Wroten, Tony",PHI
"Young, Thaddeus",PHI
"Bass, Brandon",BOS
"Bradley, Avery",BOS
"Faverani, Vitor",BOS
"Green, Jeff",BOS
"Olynyk, Kelly",BOS
"Sullinger, Jared",BOS
"Allen, Tony",MEM
"Conley, Mike",MEM
"Davis, Ed",MEM
"Gasol, Marc",MEM
"Koufos, Kosta",MEM
"Leuer, Jon",MEM
"Miller, Mike",MEM
"Pondexter, Quincy",MEM
"Prince, Tayshaun",MEM
"Randolph, Zach",MEM
"Parsons, Chandler",HOU
"Barnes, Matt",LAC
"Bullock, Reggie",LAC
"Collison, Darren",LAC
"Crawford, Jamal",LAC
"Dudley, Jared",LAC
"Griffin, Blake",LAC
"Hollins, Ryan",LAC
"Jordan, DeAndre",LAC
"Paul, Chris",LAC
"Redick, JJ",LAC
"DeRozan, DeMar",TOR
"Fields, Landry",TOR
"Hansbrough, Tyler",TOR
"Johnson, Amir",TOR
"Lowry, Kyle",TOR
"Ross, Terrence",TOR
"Valanciunas, Jonas",TOR
"Allen, Ray",MIA
"Andersen, Chris",MIA
"Battier, Shane",MIA
"Beasley, Michael",MIA
"Chalmers, Mario",MIA
"Cole, Norris",MIA
"Haslem, Udonis",MIA
"James, LeBron",MIA
"Lewis, Rashard",MIA
"Wade, Dwyane",MIA
"Billups, Chauncey",DET
"Bynum, Will",DET
"Caldwell-Pope, Kentavious",DET
"Datome, Gigi",DET
"Drummond, Andre",DET
"Jennings, Brandon",DET
"Monroe, Greg",DET
"Singler, Kyle",DET
"Smith, Josh",DET
"Stuckey, Rodney",DET
"George, Paul",IND
"Hibbert, Roy",IND
"Hill, Solomon",IND
"Mahinmi, Ian",IND
"Scola, Luis",IND
"Sloan, Donald",IND
"Stephenson, Lance",IND
"Watson, CJ",IND
"West, David",IND
"Aminu, Al-Farouq",NOP
"Davis, Anthony",NOP
"Evans, Tyreke",NOP
"Gordon, Eric",NOP
"Holiday, Jrue",NOP
"Morrow, Anthony",NOP
"Roberts, Brian",NOP
"Smith, Jason",NOP
"Stiemsma, Greg",NOP
"Barbosa, Leandro",PHX
"Christmas, Dionte",PHX
"Dragic, Goran",PHX
"Frye, Channing",PHX
"Green, Gerald",PHX
"Morris, Markieff",PHX
"Plumlee, Miles",PHX
"Randolph, Shavlik",PHX
"Tucker, PJ",PHX
"Blair, DeJuan",DAL
"Calderon, Jose",DAL
"Carter, Vince",DAL
"Crowder, Jae",DAL
"Dalembert, Samuel",DAL
"Ellington, Wayne",DAL
"Ellis, Monta",DAL
"James, Bernard",DAL
"Ledo, Ricky",DAL
"Marion, Shawn",DAL
"Mekel, Gal",DAL
"Nowitzki, Dirk",DAL
"Farmar, Jordan",LAL
"Gasol, Pau",LAL
"Henry, Xavier",LAL
"Hill, Jordan",LAL
"Johnson, Wesley",LAL
"Kaman, Chris",LAL
"Kelly, Ryan",LAL
"Meeks, Jodie",LAL
"Nash, Steve",LAL
"Sacre, Robert",LAL
"Williams, Shawne",LAL
"Young, Nick",LAL
"Faried, Kenneth",DEN
"Foye, Randy",DEN
"Hickson, JJ",DEN
"Lawson, Ty",DEN
"McGee, JaVale",DEN
"Mozgov, Timofey",DEN
"Robinson, Nate",DEN
"Belinelli, Marco",SAS
"Bonner, Matt",SAS
"Diaw, Boris",SAS
"Duncan, Tim",SAS
"Ginobili, Manu",SAS
"Green, Danny",SAS
"Leonard, Kawhi",SAS
"Mills, Patty",SAS
"Parker, Tony",SAS
"Splitter, Tiago",SAS
"Aldridge, LaMarcus",POR
"Batum, Nicolas",POR
"Leonard, Meyers",POR
"Lillard, Damian",POR
"Lopez, Robin",POR
"Matthews, Wesley",POR
"Robinson, Thomas",POR
"Williams, Mo",POR
"Wright, Dorell",POR
"Parsons, Chandler",HOU
"Antic, Pero",ATL
"Brand, Elton",ATL
"Carroll, DeMarre",ATL
"Horford, Al",ATL
"Korver, Kyle",ATL
"Martin, Cartier",ATL
"Millsap, Paul",ATL
"Schroder, Dennis",ATL
"Teague, Jeff",ATL
"Cousins, DeMarcus",SAC
"McLemore, Ben",SAC
"Outlaw, Travis",SAC
"Thomas, Isaiah",SAC
"Thompson, Jason",SAC
"Boozer, Carlos",CHI
"Butler, Jimmy",CHI
"Dunleavy, Mike",CHI
"Gibson, Taj",CHI
"Hinrich, Kirk",CHI
"Mohammed, Nazr",CHI
"Noah, Joakim",CHI
"Rose, Derrick",CHI
"Copeland, Chris",IND
"George, Paul",IND
"Hibbert, Roy",IND
